transaction_id,user_id,merchant_id,amount,currency,status,timestamp,payment_method,payment_provider,country,response_code,response_message,fee_percentage,transaction_fee,net_amount,device_type,ip_address,user_agent,attempt_number,processing_time_ms,three_ds_verified,installments,category,is_international,settlement_date
TXN00000003,2912,586,78.59,USD,approved,2025-09-29 20:10:21,ewallet,Rappi Pay,MX,00,Transaction approved,3.01,2.37,76.22,mobile,187.53.100.174,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_4 rv:2.0; or-IN) AppleWebKit/533.4.1 (KHTML, like Gecko) Version/5.0.4 Safari/533.4.1",1,2010,,1,other,True,2025-10-01
TXN00000005,8637,677,30.44,CLP,approved,2025-08-08 17:55:26,ewallet,MercadoPago,CL,00,Transaction approved,3.52,1.07,29.37,api,213.201.130.168,API/1.0,1,1920,,1,entertainment,False,2025-08-09
TXN00000007,4426,940,22.24,COP,approved,2025-09-08 16:18:54,debit_card,Mastercard Debit,CO,00,Transaction approved,2.6,0.58,21.66,mobile,58.22.47.212,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/37.0.807.0 Safari/534.0",1,602,True,1,services,False,2025-09-10
TXN00000008,8087,354,20.61,BRL,approved,2025-08-28 13:52:34,debit_card,Visa Debit,BR,00,Transaction approved,3.25,0.67,19.94,desktop,11.6.224.237,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_9; rv:1.9.4.20) Gecko/4610-03-25 20:59:53 Firefox/6.0,1,2856,True,1,utilities,False,2025-08-29
TXN00000010,4502,636,20.96,COP,approved,2025-09-18 22:32:43,bank_transfer,PIX,CO,00,Transaction approved,1.88,0.39,20.57,mobile,20.24.2.125,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_0 rv:6.0; or-IN) AppleWebKit/531.2.7 (KHTML, like Gecko) Version/5.0.5 Safari/531.2.7",1,2226,,1,food_beverage,False,2025-09-19
TXN00000015,2737,996,27.37,MXN,approved,2025-09-03 12:01:52,credit_card,Diners Club,MX,00,Transaction approved,3.43,0.94,26.43,mobile,94.128.40.232,Opera/8.79.(Windows NT 5.2; te-IN) Presto/2.9.187 Version/10.00,1,2634,True,1,tech,False,2025-09-05
TXN00000016,685,247,67.09,COP,approved,2025-10-23 17:11:40,ewallet,Clip,CO,00,Transaction approved,4.3,2.88,64.21,tablet,219.80.18.161,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_9 rv:5.0; an-ES) AppleWebKit/531.28.4 (KHTML, like Gecko) Version/5.0.5 Safari/531.28.4",1,1399,,1,services,False,2025-10-25
TXN00000017,475,694,126.95,BRL,approved,2025-10-24 13:10:36,credit_card,Visa,BR,00,Transaction approved,2.89,3.67,123.28,desktop,145.155.251.163,"Mozilla/5.0 (Windows NT 11.0) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/60.0.863.0 Safari/536.2",1,1183,True,1,entertainment,False,2025-10-26
TXN00000018,5641,124,61.49,COP,approved,2025-10-09 18:36:52,credit_card,American Express,CO,00,Transaction approved,3.24,1.99,59.5,mobile,83.232.172.134,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2573-07-03 21:01:11 Firefox/14.0,1,1372,True,6,tech,False,2025-10-11
TXN00000020,9312,939,107.48,CLP,approved,2025-08-22 13:02:05,bank_transfer,TEF,CL,00,Transaction approved,1.98,2.13,105.35,desktop,4.41.166.177,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/5.1),1,1472,,1,retail,False,2025-08-23
