transaction_id,user_id,merchant_id,amount,currency,status,timestamp,payment_method,payment_provider,country,response_code,response_message,fee_percentage,transaction_fee,net_amount,device_type,ip_address,user_agent,attempt_number,processing_time_ms,three_ds_verified,installments,category,is_international,settlement_date
TXN00000001,6719,735,14.89,CLP,approved,2025-08-09 04:05:54,debit_card,Visa Debit,CL,00,Transaction approved,3.46,0.52,14.37,desktop,154.103.201.219,"Mozilla/5.0 (Linux; Android 4.0.2) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/29.0.807.0 Safari/535.2",1,1491,True,1,retail,False,2025-08-11
TXN00000002,4754,465,14.29,MXN,approved,2025-09-11 02:19:39,credit_card,Diners Club,MX,00,Transaction approved,2.97,0.42,13.87,mobile,60.0.131.213,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; ak-GH) AppleWebKit/531.14.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6531.14.2",1,2275,True,1,other,False,2025-09-12
TXN00000006,1380,918,24.15,MXN,approved,2025-09-11 02:45:27,credit_card,American Express,MX,00,Transaction approved,3.28,0.79,23.36,mobile,199.67.164.243,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_10_2 rv:3.0; si-LK) AppleWebKit/535.47.2 (KHTML, like Gecko) Version/5.0.5 Safari/535.47.2",1,2105,True,1,retail,False,2025-09-13
TXN00000009,2684,589,94.06,USD,approved,2025-08-28 00:06:52,credit_card,American Express,MX,00,Transaction approved,3.12,2.93,91.13,mobile,104.142.39.175,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_9; rv:1.9.5.20) Gecko/7937-01-26 13:23:48 Firefox/3.6.2,1,1304,True,12,tech,True,2025-08-30
TXN00000011,3172,412,66.55,BRL,approved,2025-08-03 03:48:45,credit_card,American Express,BR,00,Transaction approved,3.18,2.12,64.43,mobile,28.36.137.10,Opera/8.45.(Windows NT 5.1; bs-BA) Presto/2.9.161 Version/10.00,1,2885,False,1,services,False,2025-08-04
TXN00000012,6975,945,65.29,PEN,approved,2025-08-18 05:33:38,credit_card,Visa,PE,00,Transaction approved,2.94,1.92,63.37,mobile,121.112.210.252,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_5 rv:4.0; or-IN) AppleWebKit/531.32.5 (KHTML, like Gecko) Version/5.0.3 Safari/531.32.5",1,2210,False,6,food_beverage,False,2025-08-19
TXN00000013,8830,260,25.35,BRL,declined,2025-09-27 05:46:22,bank_transfer,PSE,BR,54,Insufficient funds,0.0,0.0,0.0,desktop,35.177.119.153,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/4.1),3,2618,,1,utilities,False,
TXN00000019,3821,602,140.6,COP,approved,2025-10-17 04:01:29,credit_card,Diners Club,CO,00,Transaction approved,2.87,4.04,136.56,mobile,11.89.181.156,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/534.12.1 (KHTML, like Gecko) Version/5.1 Safari/534.12.1",1,2482,True,12,travel,False,2025-10-19
TXN00000021,2120,926,7.16,BRL,approved,2025-10-11 04:36:45,bank_transfer,TEF,BR,00,Transaction approved,1.03,0.07,7.09,mobile,13.4.67.195,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/4.0),1,2379,,1,utilities,False,2025-10-12
TXN00000032,8917,850,15.62,MXN,approved,2025-08-09 03:01:25,credit_card,Visa,MX,00,Transaction approved,3.0,0.47,15.15,tablet,47.56.169.85,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_4 rv:4.0; zh-CN) AppleWebKit/532.27.3 (KHTML, like Gecko) Version/4.0.4 Safari/532.27.3",1,1666,True,6,tech,False,2025-08-11
