transaction_id,user_id,merchant_id,amount,currency,status,timestamp,payment_method,payment_provider,country,response_code,response_message,fee_percentage,transaction_fee,net_amount,device_type,ip_address,user_agent,attempt_number,processing_time_ms,three_ds_verified,installments,category,is_international,settlement_date
TXN00000001,6719,735,14.89,CLP,approved,2025-08-09 04:04:54,debit_card,Visa Debit,CL,00,Transaction approved,3.46,0.52,14.37,desktop,12.174.35.233,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/5.0),1,1491,True,1,retail,False,2025-08-11
TXN00000002,4754,465,14.29,MXN,approved,2025-09-11 02:18:39,credit_card,Diners Club,MX,00,Transaction approved,2.97,0.42,13.87,mobile,159.230.194.77,Opera/8.42.(X11; Linux x86_64; pl-PL) Presto/2.9.179 Version/12.00,1,2275,True,1,other,False,2025-09-12
TXN00000006,1380,918,24.15,MXN,approved,2025-09-11 02:44:27,credit_card,American Express,MX,00,Transaction approved,3.28,0.79,23.36,mobile,1.129.66.98,Opera/9.88.(Windows NT 6.2; ur-PK) Presto/2.9.184 Version/10.00,1,2105,True,1,retail,False,2025-09-13
TXN00000009,2684,589,94.06,USD,approved,2025-08-28 00:05:52,credit_card,American Express,MX,00,Transaction approved,3.12,2.93,91.13,mobile,164.167.203.0,Mozilla/5.0 (Windows NT 5.0; ha-NG; rv:1.9.0.20) Gecko/8675-11-30 05:30:05 Firefox/3.8,1,1304,True,12,tech,True,2025-08-30
TXN00000011,3172,412,66.55,BRL,approved,2025-08-03 03:47:45,credit_card,American Express,BR,00,Transaction approved,3.18,2.12,64.43,mobile,48.83.84.252,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_3) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/39.0.850.0 Safari/535.0",1,2885,False,1,services,False,2025-08-04
TXN00000012,6975,945,65.29,PEN,approved,2025-08-18 05:32:38,credit_card,Visa,PE,00,Transaction approved,2.94,1.92,63.37,mobile,163.140.152.102,Opera/8.18.(Windows NT 6.0; fur-IT) Presto/2.9.163 Version/10.00,1,2210,False,6,food_beverage,False,2025-08-19
TXN00000013,8830,260,25.35,BRL,declined,2025-09-27 05:45:22,bank_transfer,PSE,BR,54,Insufficient funds,0.0,0.0,0.0,desktop,59.250.12.77,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/3.1),3,2618,,1,utilities,False,
TXN00000019,3821,602,140.6,COP,approved,2025-10-17 04:00:29,credit_card,Diners Club,CO,00,Transaction approved,2.87,4.04,136.56,mobile,136.193.136.198,Mozilla/5.0 (Windows NT 11.0; ro-RO; rv:1.9.2.20) Gecko/8904-09-02 06:59:11 Firefox/3.8,1,2482,True,12,travel,False,2025-10-19
TXN00000021,2120,926,7.16,BRL,approved,2025-10-11 04:35:45,bank_transfer,TEF,BR,00,Transaction approved,1.03,0.07,7.09,mobile,147.47.174.106,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/533.37.2 (KHTML, like Gecko) Version/5.0 Safari/533.37.2",1,2379,,1,utilities,False,2025-10-12
TXN00000032,8917,850,15.62,MXN,approved,2025-08-09 03:00:25,credit_card,Visa,MX,00,Transaction approved,3.0,0.47,15.15,tablet,61.82.116.191,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/5.1),1,1666,True,6,tech,False,2025-08-11
